Country/Region,max_infection_rates
Afghanistan,232.0
Albania,34.0
Algeria,199.0
Andorra,43.0
Angola,5.0
Antigua and Barbuda,6.0
Argentina,291.0
Armenia,134.0
Australia,497.0
Austria,1321.0
Azerbaijan,105.0
Bahamas,7.0
Bahrain,301.0
Bangladesh,641.0
Barbados,12.0
Belarus,1485.0
Belgium,2454.0
Belize,4.0
Benin,19.0
Bhutan,1.0
Bolivia,104.0
Bosnia and Herzegovina,92.0
Botswana,7.0
Brazil,7502.0
Brunei,26.0
Bulgaria,137.0
Burkina Faso,41.0
Burma,21.0
Burundi,6.0
Cabo Verde,45.0
Cambodia,31.0
Cameroon,203.0
Canada,2778.0
Central African Republic,31.0
Chad,21.0
Chile,1138.0
China,15136.0
Colombia,353.0
Comoros,1.0
Congo (Brazzaville),57.0
Congo (Kinshasa),81.0
Costa Rica,37.0
Cote d'Ivoire,113.0
Croatia,96.0
Cuba,63.0
Cyprus,58.0
Czechia,381.0
Denmark,391.0
Diamond Princess,99.0
Djibouti,156.0
Dominica,5.0
Dominican Republic,371.0
Ecuador,11536.0
Egypt,269.0
El Salvador,32.0
Equatorial Guinea,130.0
Eritrea,7.0
Estonia,134.0
Eswatini,20.0
Ethiopia,9.0
Fiji,5.0
Finland,267.0
France,26849.0
Gabon,38.0
Gambia,5.0
Georgia,42.0
Germany,6933.0
Ghana,403.0
Greece,156.0
Grenada,6.0
Guatemala,68.0
Guinea,167.0
Guinea-Bissau,132.0
Guyana,12.0
Haiti,10.0
Holy See,3.0
Honduras,72.0
Hungary,210.0
Iceland,99.0
India,1893.0
Indonesia,436.0
Iran,3186.0
Iraq,91.0
Ireland,1515.0
Israel,1131.0
Italy,6557.0
Jamaica,52.0
Japan,1161.0
Jordan,40.0
Kazakhstan,264.0
Kenya,29.0
"Korea, South",851.0
Kosovo,289.0
Kuwait,300.0
Kyrgyzstan,69.0
Laos,3.0
Latvia,48.0
Lebanon,61.0
Liberia,17.0
Libya,13.0
Liechtenstein,21.0
Lithuania,90.0
Luxembourg,234.0
MS Zaandam,7.0
Madagascar,14.0
Malawi,10.0
Malaysia,235.0
Maldives,190.0
Mali,58.0
Malta,52.0
Mauritania,2.0
Mauritius,41.0
Mexico,1425.0
Moldova,222.0
Monaco,12.0
Mongolia,13.0
Montenegro,30.0
Morocco,281.0
Mozambique,19.0
Namibia,3.0
Nepal,14.0
Netherlands,1346.0
New Zealand,89.0
Nicaragua,2.0
Niger,69.0
Nigeria,208.0
North Macedonia,107.0
Norway,386.0
Oman,144.0
Pakistan,1292.0
Panama,357.0
Papua New Guinea,5.0
Paraguay,27.0
Peru,3683.0
Philippines,538.0
Poland,545.0
Portugal,1516.0
Qatar,957.0
Romania,523.0
Russia,7099.0
Rwanda,22.0
Saint Kitts and Nevis,5.0
Saint Lucia,6.0
Saint Vincent and the Grenadines,4.0
San Marino,54.0
Sao Tome and Principe,6.0
Saudi Arabia,1351.0
Senegal,87.0
Serbia,2379.0
Seychelles,2.0
Sierra Leone,20.0
Singapore,1426.0
Slovakia,114.0
Slovenia,70.0
Somalia,73.0
South Africa,354.0
South Sudan,28.0
Spain,9630.0
Sri Lanka,65.0
Sudan,67.0
Suriname,3.0
Sweden,812.0
Switzerland,1321.0
Syria,6.0
Taiwan*,27.0
Tajikistan,15.0
Tanzania,181.0
Thailand,188.0
Timor-Leste,10.0
Togo,14.0
Trinidad and Tobago,40.0
Tunisia,82.0
Turkey,5138.0
US,36188.0
Uganda,11.0
Ukraine,578.0
United Arab Emirates,552.0
United Kingdom,8733.0
Uruguay,48.0
Uzbekistan,167.0
Venezuela,29.0
Vietnam,19.0
West Bank and Gaza,66.0
Western Sahara,4.0
Yemen,5.0
Zambia,9.0
Zimbabwe,8.0
